,id,conversation_id,date,username,tweet_processed,hashtags,tweet_original,target
3137,8.12015E+17,8.12015E+17,12/22/2016,alphonsedadais,Top Musique 2016 :  N2 :    pic.twitter.com/wRsdJ4Av6z,"['#anohni', '#hopelessness']",Top Musique 2016 :  N2 : #ANOHNI #hopelessness  pic.twitter.com/wRsdJ4Av6z,0
3158,8.11582E+17,8.11582E+17,12/21/2016,nvrhilaryclnton, for me is the past 8 years of lies and deception!  pic.twitter.com/NDLoUwMrFi,['#hopelessness'],#Hopelessness for me is the past 8 years of lies and deception!  pic.twitter.com/NDLoUwMrFi,1
3163,8.11433E+17,8.11433E+17,12/21/2016,flutterbyxox, 8 years of having to endure Obama!,['#hopelessness'],#Hopelessness 8 years of having to endure Obama!,0
3196,8.10676E+17,8.10676E+17,12/19/2016,dragonforce_one,Michelle Obama's Feelings of  are a Bellweather for the country: It Tells us We are Moving in the Right Direction!  ,"['#hopelessness', '#mooch', '#tcot']",Michelle Obama's Feelings of #HOPELESSNESS are a Bellweather for the country: It Tells us We are Moving in the Right Direction! #Mooch #tcot,0
3200,8.10626E+17,8.10626E+17,12/18/2016,shafner21,Its hard to fix my life when I'm surrounded by negativity 24/7.... ,['#hopelessness'],Its hard to fix my life when I'm surrounded by negativity 24/7.... #Hopelessness,1
3204,8.10602E+17,8.10602E+17,12/18/2016,agoodtheme,"The  lost the , seats in both House and Senate, in votes by the people. Clearly rejecting this notion of .","['#dems', '#presidency', '#hopelessness']","The #Dems lost the #Presidency, seats in both House and Senate, in votes by the people. Clearly rejecting this notion of #hopelessness.",0
3215,8.10475E+17,8.10475E+17,12/18/2016,leopardtwo,"Since RED China entered the WTO, 70,000 U.S. factories have closed. - D. Trump  ","['#obama', '#hopelessness']","Since RED China entered the WTO, 70,000 U.S. factories have closed. - D. Trump #Obama #Hopelessness",0
3218,8.10469E+17,8.10469E+17,12/18/2016,kshark001,Michelle O was clearly referring to life where she pays for her own vacations and doesn't have servants at her beck and call ,['#hopelessness'],Michelle O was clearly referring to life where she pays for her own vacations and doesn't have servants at her beck and call #Hopelessness,0
3220,8.10387E+17,8.10387E+17,12/18/2016,privilegehealth,"Being a Debbie Downer is a neglected mental disability. The buzz word  is code for lacks resilience, has no faith, fearful.",['#hopelessness'],"Being a Debbie Downer is a neglected mental disability. The buzz word #hopelessness is code for lacks resilience, has no faith, fearful.",0
3222,8.10386E+17,8.10386E+17,12/18/2016,privilegehealth,"Life is a privilege. Don't waste it on the b.s. emotion of . Celebrate life's silver linings, be parent and inspired.",['#hopelessness'],"Life is a privilege. Don't waste it on the b.s. emotion of #hopelessness. Celebrate life's silver linings, be parent and inspired.",0
3224,8.10374E+17,8.10374E+17,12/18/2016,privilegehealth,If my own mother had used the profane term  or  in our home we would have sued her then removed her from our home.,"['#hopeless', '#hopelessness']",If my own mother had used the profane term #hopeless or #hopelessness in our home we would have sued her then removed her from our home.,0
3228,8.10357E+17,8.10357E+17,12/18/2016,privilegehealth, exists in places places of lawlessness or dysfunctional governing management,['#hopelessness'],#Hopelessness exists in places places of lawlessness or dysfunctional governing management,0
3229,8.10357E+17,8.10357E+17,12/18/2016,privilegehealth,Hopeless Zone Where Privileged Americans Level 04 Are Not Progressing ...   pic.twitter.com/tPhsJPCDdf,['#hopelessness'],Hopeless Zone Where Privileged Americans Level 04 Are Not Progressing ... #Hopelessness  pic.twitter.com/tPhsJPCDdf,0
3241,8.10314E+17,8.10314E+17,12/18/2016,approvedamerica,We can never allow degradation of self so low by external events that we as human beings ever give up or give in to feeling .â€¦,['#hopelessness'],We can never allow degradation of self so low by external events that we as human beings ever give up or give in to feeling #hopelessness.â€¦,0
3244,8.10263E+17,8.10263E+17,12/17/2016,accnzsucks,", that was the eighties ,,wot we hav now is .","['#homelessness', '#hopelessness']","#homelessness, that was the eighties ,,wot we hav now is #hopelessness.",0
3245,8.10246E+17,8.10246E+17,12/17/2016,shining_city,2008 - 2016 has been most uninspiring time in USA history.   run amok. Call it .,"['#hopelessness', '#politicalcorrectness', '#obamaparalysissyndrome']",2008 - 2016 has been most uninspiring time in USA history. #Hopelessness #PoliticalCorrectness run amok. Call it #ObamaParalysisSyndrome.,0
3247,8.1024E+17,8.1024E+17,12/17/2016,leopardtwo,End of the Obama Administration.   pic.twitter.com/RZGeOg6xH0,"['#hopelessness', '#obama']",End of the Obama Administration. #hopelessness #Obama pic.twitter.com/RZGeOg6xH0,0
3248,8.10233E+17,8.10233E+17,12/17/2016,approvedamerica,Reject . Turn off your tv's or media emitting PsyOps sentiment analysis algorithms of hopelessness. Choose ! ???‡??‘??¼??’¯??‘¼??¼â€¦,"['#hopelessness', '#hope']",Reject #hopelessness. Turn off your tv's or media emitting PsyOps sentiment analysis algorithms of hopelessness. Choose #hope! ???‡??‘??¼??’¯??‘¼??¼â€¦,0
3257,8.10221E+17,8.10221E+17,12/17/2016,privilegehealth,Sentiment analysis algorithms from Democrats and Mrs. Obama are designed to engineer . Reject it in its entirety.,['#hopelessness'],Sentiment analysis algorithms from Democrats and Mrs. Obama are designed to engineer #hopelessness. Reject it in its entirety.,0
3259,8.10188E+17,8.10188E+17,12/17/2016,lykan114,No Michelle Obama USA is NOT entering a time of . Actually now that barrack is leaving we have GREAT  for our future! ,"['#hopelessness', '#hope', '#bye']",No Michelle Obama USA is NOT entering a time of #hopelessness. Actually now that barrack is leaving we have GREAT #HOPE for our future! #Bye,0
3275,8.10099E+17,8.10099E+17,12/17/2016,carnesgeorge,"The Audacity of  Whom are the ""We""  represents? Oh I get it... It's the pecker in the girls potty people??‘","['#hopelessness', '#mo']","The Audacity of #Hopelessness Whom are the ""We"" #MO represents? Oh I get it... It's the pecker in the girls potty people??‘",0
3340,8.06612E+17,8.06612E+17,12/7/2016,punkoutlgbt,'s  is our . What's yours?,"['#anohni', '#hopelessness', '#albumoftheday']",#Anohni's #Hopelessness is our #AlbumOfTheDay. What's yours?,0
3360,8.04976E+17,8.04976E+17,12/3/2016,emperorsilya,The reason for things fall apart &  is . The world & including the church have to make Jesus the centre.  pic.twitter.com/CGRJhSkkL5,"['#hopelessness', '#christlessness', '#te2016']",The reason for things fall apart & #hopelessness is #Christlessness. The world & including the church have to make Jesus the centre. #TE2016 pic.twitter.com/CGRJhSkkL5,0
3373,8.03617E+17,8.03617E+17,11/29/2016,ichheise_ix,Maybe this IT chaebol is future Wang So. ,['#hopelessness'],Maybe this IT chaebol is future Wang So. #hopelessness,0
3378,8.03208E+17,8.03208E+17,11/28/2016,jolson18gm,"America, I love you, but you're bringing me down...   ","['#dividedideals', '#misledpopulous', '#hopelessness']","America, I love you, but you're bringing me down... #dividedideals #misledpopulous #hopelessness",1
3380,8.02975E+17,8.02975E+17,11/27/2016,schope77,"A day saturated with  and . Brutal. Oh, the human mind. What an enemy.","['#anxiety', '#hopelessness']","A day saturated with #anxiety and #hopelessness. Brutal. Oh, the human mind. What an enemy.",1
3386,8.02184E+17,8.02184E+17,11/25/2016,tvya_me,I can be drowning in homeworks and assignments and I'll still say yes when my friends call me out ???‚???‚???‚   ,"['#hopelessness', '#friends', '#weekend']",I can be drowning in homeworks and assignments and I'll still say yes when my friends call me out ???‚???‚???‚ #hopelessness #friends #weekend,0
3393,8.00925E+17,8.00925E+17,11/22/2016,av_mayne,"Same old story, same old song and dance. ",['#hopelessness'],"Same old story, same old song and dance. #hopelessness",0
3406,7.98655E+17,7.98655E+17,11/15/2016,fromthegate,"If optimism is the ??— to success and if you can achieve a + outlook through positive thinking, there is no excuse for failure. ",['#hopelessness'],"If optimism is the ??— to success and if you can achieve a + outlook through positive thinking, there is no excuse for failure. #hopelessness",0
3417,7.9773E+17,7.9773E+17,11/13/2016,biztruth1,Being deprived of Godâ€™s joy will lead you to addictive carnal pleasure... Looking for Love in all the wrong places...! ,['#hopelessness'],Being deprived of Godâ€™s joy will lead you to addictive carnal pleasure... Looking for Love in all the wrong places...! #HopeLessness,0
3431,7.96704E+17,7.96704E+17,11/10/2016,etoilee8,"Riding the metro into , the feeling of  is palpable this morning.","['#dc', '#hopelessness']","Riding the metro into #DC, the feeling of #hopelessness is palpable this morning.",1
3437,7.96353E+17,7.96353E+17,11/9/2016,arien_inspires, is something I believe hurts more than anything other inner state. Your thoughts?  pic.twitter.com/blA0kFZjnZ,['#hopelessness'],#Hopelessness is something I believe hurts more than anything other inner state. Your thoughts?  pic.twitter.com/blA0kFZjnZ,0
3444,7.96129E+17,7.96129E+17,11/8/2016,emilylidiak,I wore all black today as metaphor for my state of mind and also for the state of America on this day.   ,"['#hopelessness', '#despair', '#needigoon']",I wore all black today as metaphor for my state of mind and also for the state of America on this day. #hopelessness #despair #NeedIGoOn,0
3453,7.94815E+17,7.94815E+17,11/5/2016,ssupernovah,So now our Parliament is going to limit the Supreme Court of its powers to save  & Co from  case. ,"['#nawazsharif', '#panama', '#hopelessness']",So now our Parliament is going to limit the Supreme Court of its powers to save #NawazSharif & Co from #PANAMA case. #Hopelessness,0
3467,7.93871E+17,7.93871E+17,11/2/2016,elvan_kama,"Immobilization, isolation, self-blame, feeling overwhelmed, and finding no responsiveness in one's context characterize .",['#hopelessness'],"Immobilization, isolation, self-blame, feeling overwhelmed, and finding no responsiveness in one's context characterize #hopelessness.",0
3468,7.93531E+17,7.93531E+17,11/1/2016,wanjakamenderi,"Everyone is a thief,its just a matter of who is near the money basket.   ","['#hopelessness', '#thebigquestion']","Everyone is a thief,its just a matter of who is near the money basket.  #hopelessness #TheBigQuestion",0
3471,7.93129E+17,7.93129E+17,10/31/2016,largesweettea,When you will never again give birth to violent men..   pic.twitter.com/pkdPhhlUuZ,['#hopelessness'],When you will never again give birth to violent men.. #Hopelessness  pic.twitter.com/pkdPhhlUuZ,0
3475,7.92556E+17,7.92556E+17,10/30/2016,staxdog,I feel like I'm rooting for 'da bears and they're down 42-0. ,['#hopelessness'],I feel like I'm rooting for 'da bears and they're down 42-0. #hopelessness,0
3476,7.92219E+17,7.92219E+17,10/29/2016,pastorkebreau,The new Era f Justice *2night I'm calling n all prayer intercessors&warriors 2pray against tht strong spirit f  fr the Election,['#hopelessness'],The new Era f Justice *2night I'm calling n all prayer intercessors&warriors 2pray against tht strong spirit f #Hopelessness fr the Election,0
3487,7.90297E+17,7.90297E+17,10/23/2016,specific_grl,Once a flirty always a flirty  .,['#hopelessness'],Once a flirty always a flirty #Hopelessness .,0
3488,7.90275E+17,7.90275E+17,10/23/2016,mhatwork,"comment: ""I've had tough times but I would never consider ""  this is stigma this is ignorance    ANYONE pic.twitter.com/yjJOgmHM3D","['#suicide', '#hopelessness', '#helplessness']","comment: ""I've had tough times but I would never consider #suicide""  this is stigma this is ignorance #hopelessness #helplessness  ANYONE pic.twitter.com/yjJOgmHM3D",1
3492,7.89944E+17,7.89944E+17,10/22/2016,nicholasvanhorn, -The moment you realize that they're still making country music.,['#hopelessness'],#hopelessness -The moment you realize that they're still making country music.,0
3495,7.89291E+17,7.89291E+17,10/21/2016,arielnano,Anohni's  is the underrated album of the year.,['#hopelessness'],Anohni's #HOPELESSNESS is the underrated album of the year.,0
3499,7.88882E+17,7.88882E+17,10/19/2016,boristoble,"Trump wants to make America great again and guest what, he asks obama's Kenyan-born half brother for help  ","['#hopelessness', '#debatenight']","Trump wants to make America great again and guest what, he asks obama's Kenyan-born half brother for help #hopelessness #debatenight",0
3521,7.87002E+17,7.87002E+17,10/14/2016,cpeverley,"No matter how knowledgeable/experienced a woman becomes, there will always be an inexperienced, male moron whom >40% support. ",['#hopelessness'],"No matter how knowledgeable/experienced a woman becomes, there will always be an inexperienced, male moron whom >40% support. #hopelessness",0
3524,7.86635E+17,7.86635E+17,10/13/2016,hormesisrad,"""I'm telling you, the  eats you alive""",['#hopelessness'],"""I'm telling you, the #hopelessness eats you alive""",0
3530,7.86248E+17,7.86248E+17,10/12/2016,kipperuk,Definition of utter : Using PowerPoint on a .  It's like Microsoft did it on purpose...,"['#hopelessness', '#mac']",Definition of utter #hopelessness: Using PowerPoint on a #Mac.  It's like Microsoft did it on purpose...,0
3535,7.86174E+17,7.86174E+17,10/12/2016,africatalks2u,â™?Why Did You Separate Me from the Earth? - ANOHNI   ,"['#anohni', '#hopelessness', '#nowplaying']",â™?Why Did You Separate Me from the Earth? - ANOHNI #anohni #hopelessness #nowplaying,0
3536,7.86173E+17,7.86173E+17,10/12/2016,africatalks2u,â™?Violent Men - ANOHNI   ,"['#anohni', '#hopelessness', '#nowplaying']",â™?Violent Men - ANOHNI #anohni #hopelessness #nowplaying,0
3538,7.86171E+17,7.86171E+17,10/12/2016,africatalks2u,â™?I Don't Love You Anymore - ANOHNI   ,"['#anohni', '#hopelessness', '#nowplaying']",â™?I Don't Love You Anymore - ANOHNI #anohni #hopelessness #nowplaying,0
3540,7.86169E+17,7.86169E+17,10/12/2016,africatalks2u,â™?Watch Me - ANOHNI   ,"['#anohni', '#hopelessness', '#nowplaying']",â™?Watch Me - ANOHNI #anohni #hopelessness #nowplaying,0
3541,7.86168E+17,7.86168E+17,10/12/2016,africatalks2u,â™?4 Degrees - ANOHNI   ,"['#anohni', '#hopelessness', '#nowplaying']",â™?4 Degrees - ANOHNI #anohni #hopelessness #nowplaying,0
3542,7.86167E+17,7.86167E+17,10/12/2016,africatalks2u,â™?Drone Bomb Me - ANOHNI   ,"['#anohni', '#hopelessness', '#nowplaying']",â™?Drone Bomb Me - ANOHNI #anohni #hopelessness #nowplaying,0
3546,7.85915E+17,7.85915E+17,10/11/2016,x_rayvision,I feel depressed when I see Elites taking a piss on all of us then MSM telling us It's raining with a straight face  ,"['#hopelessness', '#c4news']",I feel depressed when I see Elites taking a piss on all of us then MSM telling us It's raining with a straight face #Hopelessness #c4news,0
3549,7.85559E+17,7.85559E+17,10/10/2016,er_sagt,Anohni is truely a lighthouse in our modern twisted fog. I highly suggest reading that article + purchasing her LP .,['#hopelessness'],Anohni is truely a lighthouse in our modern twisted fog. I highly suggest reading that article + purchasing her LP #Hopelessness.,0
3553,7.8505E+17,7.8505E+17,10/9/2016,aquagenius,When you feel like a stranger in your own environment.   pic.twitter.com/w1sj4IlSUa,['#hopelessness'],When you feel like a stranger in your own environment. #hopelessness  pic.twitter.com/w1sj4IlSUa,1
3556,7.84768E+17,7.84768E+17,10/8/2016,nikiashton,"""I  a temporary, contract job but I am hoping for permanent"" -  that's heard all too often amongst GenY. ","['#workworkwork', '#genyasky', '#hopelessness']","""I #workworkwork a temporary, contract job but I am hoping for permanent"" - #GenYAskY that's heard all too often amongst GenY. #hopelessness",0
3562,7.83812E+17,7.83812E+17,10/5/2016,nancyfabermusic,"Reading poetry on the subway is magical. ??¦„  Oh, did I mention I'm thinking of you... ???‰  pic.twitter.com/6lNdaRZiJb",['#hopelessness'],"Reading poetry on the subway is magical. ??¦„ #hopelessness Oh, did I mention I'm thinking of you... ???‰  pic.twitter.com/6lNdaRZiJb",1
3565,7.8339E+17,7.8339E+17,10/4/2016,thefernforest, you're broken into thousands of tiny pieces and will never be put back together again.  ,"['#depressionfeelslike', '#sicknotweak', '#hopelessness']",#depressionfeelslike you're broken into thousands of tiny pieces and will never be put back together again. #SickNotWeak #hopelessness,1
3569,7.82787E+17,7.82787E+17,10/3/2016,paulwwalton,"If there is no God, then there is no purpose, it is why the soul is sucked right out of a man, who doesn't know God... ",['#hopelessness'],"If there is no God, then there is no purpose, it is why the soul is sucked right out of a man, who doesn't know God... #Hopelessness",0
3570,7.82752E+17,7.82752E+17,10/3/2016,kcmcanada,"If you need hope today, ask God into your heart. Then, take  over the devil and cast  away from you â€“Kenneth Copeland","['#authority', '#hopelessness']","If you need hope today, ask God into your heart. Then, take #authority over the devil and cast #hopelessness away from you â€“Kenneth Copeland",0
3580,7.81271E+17,7.81271E+17,9/28/2016,mbelcevic,"actually - EACH. AND. EVERY. GODDAMN. SONG. on the album is the strongest, sadest, and most beautiful song ever. <3  ","['#hopelessness', '#anohni']","actually - EACH. AND. EVERY. GODDAMN. SONG. on the album is the strongest, sadest, and most beautiful song ever. <3 #hopelessness #anohni",0
3586,7.80599E+17,7.80599E+17,9/27/2016,1playfair,If there is serious conversations regarding institutional racism; black on black crime will be better understood..,['#hopelessness'],If there is serious conversations regarding institutional racism; black on black crime will be better understood..#hopelessness,0
3596,7.79657E+17,7.79657E+17,9/24/2016,andyeisthenews,Disturbing to see that  is trending. Heaven send the personal sponsors & BFFs to save the dreary day.,['#hopelessness'],Disturbing to see that #hopelessness is trending. Heaven send the personal sponsors & BFFs to save the dreary day.,0
3616,7.78577E+17,7.78577E+17,9/21/2016,cl_madman,Two options remain:  1. Sell this phone 2. Sell myself. ,['#hopelessness'],Two options remain:  1. Sell this phone 2. Sell myself. #hopelessness,0
3617,7.78488E+17,7.78488E+17,9/21/2016,pavithrachandra,"Not the  I know or grew up in. This is, the brutal reality of honest people & honest officials in state.   pic.twitter.com/eZmQpzAOBr","['#bangalore', '#hopelessness', '#apathy']","Not the #Bangalore I know or grew up in. This is, the brutal reality of honest people & honest officials in state. #hopelessness #apathy pic.twitter.com/eZmQpzAOBr",0
3625,7.77312E+17,7.77312E+17,9/18/2016,rrfchica80,We will never again give back to violent men   This was a great song to hear live ??™Œ??½,"['#anohni', '#hopelessness']",We will never again give back to violent men #anohni #hopelessness This was a great song to hear live ??™Œ??½,0
3637,7.76129E+17,7.76129E+17,9/14/2016,spiralsounding,"Human being is a design of expression that despite the  of a situation, regardless of the odds, we still rise in our .","['#hopelessness', '#caring']","Human being is a design of expression that despite the #hopelessness of a situation, regardless of the odds, we still rise in our #caring.",0
3642,7.75538E+17,7.75538E+17,9/13/2016,nsightsbeyond50,"Insights beyond 50: my team is now 0-1. Oh well, there's always next year.   pic.twitter.com/2lei0mHXQk",['#hopelessness'],"Insights beyond 50: my team is now 0-1. Oh well, there's always next year. #Hopelessness  pic.twitter.com/2lei0mHXQk",0
3646,7.74694E+17,7.74694E+17,9/10/2016,sgboy01,Gosh I needed this to lift me up!  was getting me down  pic.twitter.com/aKXO9rDvom,"['#hopelessness', '#bestdancetrackever']",Gosh I needed this to lift me up! #hopelessness was getting me down #bestdancetrackEver pic.twitter.com/aKXO9rDvom,1
3647,7.74689E+17,7.74689E+17,9/10/2016,sgboy01,It is a bit depressing but I cannot wait to explore the rest of the album    pic.twitter.com/U953QJhTfU,"['#anohni', '#hopelessness']",It is a bit depressing but I cannot wait to explore the rest of the album #anohni #hopelessness  pic.twitter.com/U953QJhTfU,0
3653,7.74302E+17,7.7428E+17,9/9/2016,marcbh2oson,The only causal factor in  that ties everyone together is an overwhelming feeling of . A kind word can save a life!,"['#suicide', '#hopelessness']",The only causal factor in #suicide that ties everyone together is an overwhelming feeling of #hopelessness. A kind word can save a life!,0
3665,7.73794E+17,7.73794E+17,9/8/2016,eatartdaily,"Your  perseveres. Good luck in Mercury Awards, darling @ANOHNItweets   pic.twitter.com/is67imvghq","['#hopelessness', '#neveragaingivebirthtoviolentmen']","Your #Hopelessness perseveres. Good luck in Mercury Awards, darling @ANOHNItweets  #NeverAgainGiveBirthToViolentMen pic.twitter.com/is67imvghq",0
3672,7.73328E+17,7.73328E+17,9/7/2016,bible180us,"""A man's spirit will endure sickness, but a crushed spirit who can bear?""  Proverbs 18:14, ESV   ","['#depression', '#hopelessness']","""A man's spirit will endure sickness, but a crushed spirit who can bear?""  Proverbs 18:14, ESV  #depression #hopelessness",0
3673,7.73171E+17,7.73171E+17,9/6/2016,pastorpld,I'll just say it: the US  has become so corrupt in it's  that there is a deep sense of  in America,"['#government', '#leadership', '#hopelessness']",I'll just say it: the US #government has become so corrupt in it's #leadership that there is a deep sense of #hopelessness in America,0
3677,7.72824E+17,7.72824E+17,9/5/2016,im_suvendu,So dat i cn hv mah best lyf ever had n my hand & i dn't wnt 2 see myself a  man n future. So i wish me having... Cntd..,['#hopelessness'],So dat i cn hv mah best lyf ever had n my hand & i dn't wnt 2 see myself a #Hopelessness man n future. So i wish me having... Cntd..,1
3681,7.72574E+17,7.72574E+17,9/4/2016,irina_varela01,In need of an ephemeral relief to   ,"['#hopelessness', '#sadtruths', '#hardtruths']",In need of an ephemeral relief to #hopelessness #sadtruths #hardtruths,1
3686,7.71993E+17,7.71993E+17,9/3/2016,elvan_kama, is more closely associated with  than ,"['#hopelessness', '#suicide', '#depression']",#Hopelessness is more closely associated with #suicide than #depression,0
3687,7.7177E+17,7.7177E+17,9/2/2016,soul_whisperer,"""The Mind may offer you , but the Soul will furnish you with hope, intuitive answers; & solutions""~ Eleesha ?ƒ¦  ","['#hopelessness', '#quote', '#soul']","""The Mind may offer you #hopelessness, but the Soul will furnish you with hope, intuitive answers; & solutions""~ Eleesha ?ƒ¦ #quote #soul",0
3691,7.71667E+17,7.71667E+17,9/2/2016,drwardazahid,Setback after setback after setback  ,"['#depression', '#hopelessness']",Setback after setback after setback #depression #hopelessness,1
3692,7.71571E+17,7.71571E+17,9/2/2016,banyanbalm_gsi,Changing name doesn't change services.  hospitals should not spell   and . - Dr. Sanjeev  pic.twitter.com/1ISpCj3cGt,"['#mental', '#misery', '#hopelessness']",Changing name doesn't change services. #Mental hospitals should not spell #misery  and #hopelessness. - Dr. Sanjeev  pic.twitter.com/1ISpCj3cGt,0
3695,7.71112E+17,7.71112E+17,8/31/2016,mar_e_,"The fourth day you didn't refill your medication because the price was too exorbitant, even with a coupon.   returns","['#depression', '#hopelessness']","The fourth day you didn't refill your medication because the price was too exorbitant, even with a coupon. #depression #hopelessness returns",1
3700,7.70868E+17,7.70868E+17,8/31/2016,writergirl88,For those who struggle w/ they need those of us who are . And when the hopeful struggle we need to find our way back...,"['#hopelessness', '#hopeful']",For those who struggle w/#hopelessness they need those of us who are #hopeful. And when the hopeful struggle we need to find our way back...,0
3703,7.70682E+17,7.70682E+17,8/30/2016,nimheincat,"It eluded us then, but thatâ€™s no matter - tomorrow we will run faster, stretch out our arms farther. . .  ","['#thegreatgatsby', '#hopelessness']","It eluded us then, but thatâ€™s no matter - tomorrow we will run faster, stretch out our arms farther. . . #TheGreatGatsby #hopelessness",0
3724,7.68166E+17,7.68166E+17,8/23/2016,jrichardknapp,"For some, this was the face of the 'Great Depression' ...... ...  pic.twitter.com/duwwvhCKyP","['#desperation', '#hopelessness', '#parenting']","For some, this was the face of the 'Great Depression' ...#desperation... #hopelessness... #parenting pic.twitter.com/duwwvhCKyP",0
3725,7.68117E+17,7.68117E+17,8/23/2016,kingboss456,something epic  out of a sense of  Sort of a desperation Through that desperation we feel we have nothing to lose,"['#hustle', '#hopelessness']",something epic #hustle out of a sense of #hopelessness Sort of a desperation Through that desperation we feel we have nothing to lose,0
3730,7.67479E+17,7.67479E+17,8/21/2016,hisnameistommie,As of August 21- this is the Album of the Year. No question/without a doubt.   pic.twitter.com/xvpQPQqvxw,['#hopelessness'],As of August 21- this is the Album of the Year. No question/without a doubt. #Hopelessness  pic.twitter.com/xvpQPQqvxw,0
3738,7.66408E+17,7.66408E+17,8/18/2016,greenbics87,"When you living with someone that is manic depressed, life stops   ???????”","['#hopelessness', '#helpless']","When you living with someone that is manic depressed, life stops #hopelessness #helpless ???????”",0
3753,7.65934E+17,7.65934E+17,8/17/2016,eddiemurder1,"If you haven't listened to  with the new album , maybe you shouldn't, it might break you.","['#anohni', '#hopelessness']","If you haven't listened to #anohni with the new album #hopelessness, maybe you shouldn't, it might break you.",0
3762,7.65109E+17,7.65109E+17,8/15/2016,badoowskimak,the look of  on their face is killing me....,"['#hopelessness', '#chibokgirls']",the look of #Hopelessness on their face is killing me....#ChibokGirls,0
3766,7.64652E+17,7.64652E+17,8/14/2016,sunbeam_r,?´?ˆ???© ?£?…?„ ?¹?´?§?† ?†?ƒ?…?„.  vs ,"['#hope', '#hopelessness']",?´?ˆ???© ?£?…?„ ?¹?´?§?† ?†?ƒ?…?„. #hope vs #hopelessness,0
3772,7.64104E+17,7.64104E+17,8/12/2016,jenniferd0902,Iâ€™m so stressed and frustrated right now.  Iâ€™m not about this.  ,['#hopelessness'],Iâ€™m so stressed and frustrated right now.  Iâ€™m not about this.  #hopelessness,1
3791,7.62723E+17,7.62723E+17,8/8/2016,dfeige,Basically his death shows the entire parole system to be a farce.    pic.twitter.com/SbtCKY0IXO,"['#heartbreaking', '#hopelessness']",Basically his death shows the entire parole system to be a farce. #heartbreaking #hopelessness  pic.twitter.com/SbtCKY0IXO,0
3797,7.62534E+17,7.62534E+17,8/8/2016,vicavor,The  in the NPP is deeply rooted because of Nana Addo's divide and rule style of slave 'mastership',['#hopelessness'],The #Hopelessness in the NPP is deeply rooted because of Nana Addo's divide and rule style of slave 'mastership',0
3834,7.61395E+17,7.61395E+17,8/5/2016,hisnameistommie,This is ANOHNI. She has released  an album that transcends space and time. The best album ever.  pic.twitter.com/th6CRB1sFR,['#hopelessness'],This is ANOHNI. She has released #Hopelessness an album that transcends space and time. The best album ever.  pic.twitter.com/th6CRB1sFR,0
3840,7.61147E+17,7.61147E+17,8/4/2016,alexandrasaidso,Very happy to see anohni make the very nice  nominated list! That's where I'm putting my vote... ,"['#mercuryprize', '#hopelessness']",Very happy to see anohni make the very nice #MercuryPrize nominated list! That's where I'm putting my vote... #hopelessness,0
3843,7.60834E+17,7.60834E+17,8/3/2016,sunbeam_r,Many people told me so far to stop and give up because there is nearly zero hope. I can't wait to see how it ends.  vs ,"['#hope', '#hopelessness']",Many people told me so far to stop and give up because there is nearly zero hope. I can't wait to see how it ends. #hope vs #hopelessness,0
3844,7.60537E+17,7.60537E+17,8/2/2016,dennismillerceo,Is today YOUR day?  to choose happiness + success over  + failure  pic.twitter.com/jp1pghgs8H,"['#changeyourmind', '#hopelessness', '#tuesdaymotivation']",Is today YOUR day? #ChangeYourMind to choose happiness + success over #hopelessness + failure #TuesdayMotivation pic.twitter.com/jp1pghgs8H,0
3865,7.58506E+17,7.58506E+17,7/28/2016,miyuko_junsei,Still wondering if SyFy can have a theme song for ?   pic.twitter.com/E7li3gwIfU,"['#blooddrive', '#hopelessness']",Still wondering if SyFy can have a theme song for #blooddrive? #hopelessness  pic.twitter.com/E7li3gwIfU,0
3877,7.57814E+17,7.57814E+17,7/26/2016,damianofina,How did I become a virus? Awareness listening the great music by  ,"['#anohni', '#hopelessness']",How did I become a virus? Awareness listening the great music by #Anohni #hopelessness,0
3892,7.57122E+17,7.57122E+17,7/24/2016,kadiehelz,"If all the lights in the world were turned on, I'd still be shrouded in darkness   ","['#depression', '#hopelessness', '#icantdothis']","If all the lights in the world were turned on, I'd still be shrouded in darkness #depression #hopelessness #icantdothis",1
3906,7.55864E+17,7.55864E+17,7/20/2016,narni_crystal,being all sweet and nice to a guy then realizing how he never really deserved any of it ??‘??½ story of my life ,['#hopelessness'],being all sweet and nice to a guy then realizing how he never really deserved any of it ??‘??½ story of my life #hopelessness,1
3908,7.55804E+17,7.55804E+17,7/20/2016,tzedeckofficial,"The Gateway to Freedom Kit when you need the tools to break  from ,  and keep going. pic.twitter.com/WtML2wyu7y","['#free', '#hopelessness', '#depression']","The Gateway to Freedom Kit when you need the tools to break #Free from #hopelessness, #depression and keep going. pic.twitter.com/WtML2wyu7y",0
3909,7.55711E+17,7.55711E+17,7/20/2016,hotgemmgmt,I <3 this @ANOHNItweets LP so so much ,['#hopelessness'],I <3 this @ANOHNItweets LP so so much #Hopelessness,0
3919,7.5478E+17,7.5478E+17,7/17/2016,durremahmood,friends frm abroad today: why r u so serious.All changed ...                   Me: Is there anything to celebrate ?  ,"['#pakistan', '#hopelessness']",friends frm abroad today: why r u so serious.All changed ...                   Me: Is there anything to celebrate ? #pakistan #hopelessness,0
